name,img,export,set,description_1,description_2,source,symbol,rune,si unit,tags,alt names,related
68,10,50,,,,,,,,,,
body,y,y,objects,Collection of matter with a defined contiguous border in three-dimensional space.,A group of matter that occupies a specific| continuous region within three-dimensional space.,https://en.wikipedia.org/wiki/Physical_object,,,,mechanics,,
mass,y,y,objects,Quantity that determines an object’s inertia and its response to a force.,A fundamental characteristic of an object| once thought to be tied to the amount of matter present| but later found to differ even among particles with seemingly similar amounts of matter.,https://en.wikipedia.org/wiki/Mass,m,m,,fundamentals| mechanics| property,,
time,y,y,objects,Continued sequence of events that occurs in an apparently irreversible succession from the past| through the present| and into the future.,The ongoing progression of events from the past to the present| and into the future| often considered an irreversible process.,https://en.wikipedia.org/wiki/Time,t,t,,fundamentals| mechanics,,
vacuum,y,y,objects,Space devoid of matter.,An area completely empty of any physical matter.,https://en.wikipedia.org/wiki/Vacuum,,0,,,,
speed,y,y,objects,The magnitude of the change of position over time.,The rate at which an object's location shifts over a given period.,https://en.wikipedia.org/wiki/Speed,v,v,,fundamentals| mechanics| kinematics,,
velocity,y,y,objects,The speed in combination with the direction of motion of an object.,The combined measurement of how fast something is moving and in what direction.,https://en.wikipedia.org/wiki/Velocity,v,v,,fundamentals| mechanics,,
acceleration,y,y,objects,The rate of change of the velocity of an object with respect to time.,The measure of how quickly an object's speed changes over time.,https://en.wikipedia.org/wiki/Acceleration,a,a,,fundamentals| mechanics,,
impulse,y,y,objects,Change in momentum of an object.,The variation in an object's momentum due to external influences.,https://en.wikipedia.org/wiki/Impulse_(physics),J,J,,fundamentals| mechanics,,
momentum,y,y,objects,Product of the mass and velocity of an object.,A measure obtained by multiplying an object's mass by its speed.,https://en.wikipedia.org/wiki/Momentum,p,p,,fundamentals| mechanics| newton,,
displacement,y,y,objects,Change is position of an object.,The shift in an object's location from one point to another.,https://en.wikipedia.org/wiki/Displacement_(geometry),d,d,m,,,
distance,,,objects,Measurement of how far apart the objects are.,A measurement indicating how much space separates two objects.,https://en.wikipedia.org/wiki/Distance,,,,mechanics| fundamentals,,
force,,y,gravitation,Influence that can cause an object to change its velocity unless counterbalanced by other forces.,A push or pull that can alter an object's speed or direction unless other factors counter it.,https://en.wikipedia.org/wiki/Force,F,F,,fundamentals| mechanics| concept,,
gravity,,y,gravitation,Fundamental interaction observed as mutual attraction between all things that have mass.,A fundamental force that causes any two objects with mass to attract each other.,https://en.wikipedia.org/wiki/Gravity,g_0| g_n,G,,,,<card>
